listing_id,price,nbhood_full,State
5271997,125,Manhattan, Upper West Side
5276602,45,Brooklyn, Fort Greene
5278927,129,Brooklyn, Greenpoint
5279859,196,Manhattan, Kips Bay
5285553,175,Manhattan, East Harlem
5285867,90,Brooklyn, Flatbush
5286482,50,Brooklyn, Midwood
5287414,65,Manhattan, Gramercy
5295884,190,Manhattan, East Harlem
5297292,150,Brooklyn, Bedford-Stuyvesant
5297788,68,Brooklyn, Crown Heights
5298896,124,Manhattan, Financial District
5300082,160,Manhattan, East Village
5301003,160,Brooklyn, South Slope
5304431,159,Brooklyn, Greenpoint
5316377,249,Brooklyn, Crown Heights
5318322,495,Brooklyn, Gowanus
5319150,120,Brooklyn, Williamsburg
5319785,159,Manhattan, Gramercy
5320983,189,Brooklyn, DUMBO
5326138,59,Brooklyn, Bushwick
5334478,199,Manhattan, Chelsea
5336588,54,Manhattan, East Harlem
5337757,49,Brooklyn, Greenpoint
5338293,250,Manhattan, SoHo
5340262,50,Queens, Flushing
5343821,200,Manhattan, Midtown
5345293,300,Brooklyn, Brooklyn Heights
5352301,27,Brooklyn, East Flatbush
5353312,99,Manhattan, Upper East Side
5353612,250,Manhattan, West Village
5354796,57,Bronx, University Heights
5358354,170,Manhattan, Hell's Kitchen
5362041,250,Manhattan, Harlem
5364134,73,Brooklyn, South Slope
5370580,36,Queens, Corona
5371463,99,Brooklyn, Bedford-Stuyvesant
5372526,71,Manhattan, Lower East Side
5381943,89,Manhattan, Upper East Side
5383005,150,Brooklyn, Williamsburg
5384643,125,Brooklyn, Fort Greene
5389907,300,Queens, Astoria
5390882,70,Manhattan, East Harlem
5395679,65,Queens, Ridgewood
5396701,130,Manhattan, East Village
5396801,115,Brooklyn, Sheepshead Bay
5397157,94,Brooklyn, Greenpoint
5397568,185,Manhattan, Harlem
5404201,180,Brooklyn, Prospect Heights
5406041,100,Manhattan, East Village
5406067,134,Manhattan, Kips Bay
5406167,49,Queens, Ridgewood
5406187,47,Brooklyn, Flatbush
5409372,120,Brooklyn, Windsor Terrace
5410897,169,Brooklyn, South Slope
5411787,130,Brooklyn, Bay Ridge
5413565,122,Brooklyn, Williamsburg
5414911,65,Queens, Flushing
5418312,115,Manhattan, Upper East Side
5418807,60,Queens, Bayswater
5420456,200,Manhattan, Upper West Side
5424042,259,Queens, Flushing
5430658,70,Brooklyn, Bedford-Stuyvesant
5432089,825,Manhattan, Harlem
5433287,250,Manhattan, East Village
5433746,142,Brooklyn, Bedford-Stuyvesant
5433967,120,Brooklyn, Bedford-Stuyvesant
5434150,136,Manhattan, Greenwich Village
5439372,103,Manhattan, East Harlem
5442584,200,Manhattan, Theater District
5443318,145,Manhattan, Hell's Kitchen
5445314,160,Brooklyn, DUMBO
5445743,45,Brooklyn, Bedford-Stuyvesant
5458432,150,Bronx, Concourse Village
5466630,119,Brooklyn, Bedford-Stuyvesant
5476046,500,Brooklyn, Crown Heights
5477876,135,Brooklyn, Greenpoint
5478741,524,Manhattan, Midtown
5481762,159,Brooklyn, Bedford-Stuyvesant
5482918,73,Queens, Springfield Gardens
5494750,38,Brooklyn, East Flatbush
5500740,72,Manhattan, Washington Heights
5502282,95,Brooklyn, Williamsburg
5504568,45,Brooklyn, Bedford-Stuyvesant
5505726,250,Manhattan, Hell's Kitchen
5507784,165,Brooklyn, Williamsburg
5509771,184,Brooklyn, Park Slope
5509980,135,Queens, Ridgewood
5510725,160,Manhattan, Hell's Kitchen
5511036,99,Brooklyn, Crown Heights
5519207,80,Manhattan, East Harlem
5523413,52,Brooklyn, Kensington
5524950,75,Manhattan, Washington Heights
5525510,62,Manhattan, Chinatown
5526210,750,Manhattan, Tribeca
5533000,250,Brooklyn, Bushwick
5534962,150,Manhattan, SoHo
5538720,59,Brooklyn, Flatlands
5541897,140,Manhattan, Upper West Side
5543210,90,Brooklyn, Columbia St
5545560,250,Manhattan, Upper West Side
5546217,190,Brooklyn, Prospect-Lefferts Gardens
5547081,298,Brooklyn, Bedford-Stuyvesant
5549530,99,Manhattan, Gramercy
5550788,95,Manhattan, Hell's Kitchen
5557097,59,Manhattan, Washington Heights
5557536,200,Queens, Ridgewood
5558596,146,Manhattan, Upper West Side
5562420,450,Brooklyn, Williamsburg
5562710,160,Manhattan, East Village
5567278,220,Manhattan, West Village
5567361,120,Brooklyn, Prospect-Lefferts Gardens
5572393,85,Brooklyn, East New York
5588253,60,Brooklyn, Williamsburg
5590387,125,Manhattan, East Village
5591612,130,Brooklyn, Flatbush
5593679,110,Manhattan, Upper West Side
5593725,60,Manhattan, Harlem
5594865,81,Manhattan, Lower East Side
5604005,400,Manhattan, Nolita
5604704,160,Brooklyn, Crown Heights
5605209,110,Manhattan, Chinatown
5605790,220,Brooklyn, Bushwick
5605822,135,Brooklyn, Bedford-Stuyvesant
5606308,99,Brooklyn, Williamsburg
5611893,89,Manhattan, East Village
5615835,75,Manhattan, East Village
5619149,475,Manhattan, Financial District
5621141,230,Manhattan, Chelsea
5627418,135,Brooklyn, Bedford-Stuyvesant
5627944,182,Manhattan, Midtown
5632551,48,Brooklyn, Bushwick
5636395,81,Brooklyn, Bedford-Stuyvesant
5638270,80,Manhattan, Lower East Side
5638917,129,Brooklyn, Greenpoint
5641644,35,Brooklyn, Crown Heights
5641857,100,Manhattan, Harlem
5642982,82,Manhattan, Washington Heights
