listing_id,price,nbhood_full,State
4016173,100,Brooklyn, Park Slope
4024936,120,Brooklyn, Williamsburg
4025329,129,Manhattan, Harlem
4026150,78,Queens, Elmhurst
4031463,50,Bronx, Norwood
4032229,47,Bronx, University Heights
4033300,150,Brooklyn, Bedford-Stuyvesant
4033444,125,Brooklyn, Crown Heights
4033521,60,Brooklyn, Crown Heights
4037522,99,Queens, Astoria
4038794,75,Manhattan, Washington Heights
4040900,59,Manhattan, Theater District
4040926,111,Manhattan, East Village
4046281,119,Manhattan, East Village
4047638,69,Queens, Astoria
4047791,185,Brooklyn, Greenpoint
4048043,135,Manhattan, SoHo
4050254,169,Brooklyn, Park Slope
4050765,38,Brooklyn, Bedford-Stuyvesant
4050795,90,Brooklyn, Bushwick
